|iteration|graph_1|graph_2|graph_3|graph_4|
|--|--|--|--|--|
|10 | 0.00083351| 0.00084138| 0.0006392 | 0.0022471 |
|20 | 0.00154853| 0.00157905| 0.00119662| 0.00343251|
|30 | 0.00114083| 0.00138521| 0.00106883| 0.00383592|
|40 | 0.00152516| 0.00183487| 0.00137782| 0.00515056|
|50 | 0.00186539| 0.00228   | 0.00173378| 0.00643754|
|60 | 0.00220895| 0.00273967| 0.00206947| 0.00765872|
|70 | 0.00256968| 0.0031662 | 0.00239992| 0.00891805|
|80 | 0.00291467| 0.00363445| 0.00272083| 0.01014304|
|90 | 0.00326276| 0.00407052| 0.00307488| 0.01139545|
|100| 0.00361443| 0.00449729| 0.00339198| 0.01262212|
|110| 0.00395489| 0.00497484| 0.00373673| 0.01391268|
|120| 0.00431252| 0.00541449| 0.00407052| 0.01519966|
|130| 0.00464749| 0.00586867| 0.00442696| 0.01648974|
|140| 0.00502586| 0.00632024| 0.00473285| 0.01768064|
|150| 0.00537801| 0.00677466| 0.00508189| 0.01893997|
|160| 0.00570369| 0.00722861| 0.00542617| 0.02019238|
|170| 0.00609422| 0.00768256| 0.00574923| 0.02154922|
|180| 0.0064466 | 0.00812984| 0.0060885 | 0.02273536|
|190| 0.00679231| 0.00856805| 0.00643158| 0.02400351|
|200| 0.00717378| 0.00902557| 0.00674462| 0.02526069|
|210| 0.00750017| 0.00947213| 0.00708437| 0.02654982|
|220| 0.00785136| 0.00991583| 0.00743651| 0.02785707|
|230| 0.00826168| 0.010391  | 0.00776935| 0.02905869|
|240| 0.00863791| 0.01085424| 0.00815177| 0.03036976|
|250| 0.00896001| 0.01133728| 0.00846124| 0.03176308|
|260| 0.00934148| 0.01180506| 0.00883079| 0.03294492|
|270| 0.00966358| 0.01225448| 0.00915241| 0.03407693|
|280| 0.01008844| 0.01268315| 0.00950289| 0.03532171|
|290| 0.01039696| 0.01313639| 0.00983214| 0.03667712|
|300| 0.01079869| 0.01360774| 0.01023483| 0.03788471|
|310| 0.01115823| 0.01404619| 0.01048708| 0.03910422|
|320| 0.01147318| 0.01445866| 0.01083779| 0.04036665|
|330| 0.0118072 | 0.01485014| 0.01112556| 0.04170251|
|340| 0.01215839| 0.01539159| 0.01141405| 0.04287267|
|350| 0.01256537| 0.01573849| 0.01184893| 0.044209  |
|360| 0.01288342| 0.01622748| 0.01209998| 0.04542661|
|370| 0.0132668 | 0.016644  | 0.01243377| 0.04662132|
|380| 0.01364851| 0.01715517| 0.01283836| 0.04779935|
|390| 0.01397133| 0.01758194| 0.01314425| 0.04909754|
|400| 0.01428056| 0.01798463| 0.0134275 | 0.05028987|
|410| 0.01464701| 0.01838803| 0.01377249| 0.05166745|
|420| 0.01510525| 0.01894188| 0.01417971| 0.05289173|
|430| 0.01540279| 0.01931119| 0.01447797| 0.05397367|
|440| 0.01577997| 0.01975608| 0.01477599| 0.054968 |36|
|450| 0.0160737 | 0.02019024| 0.01508379| 0.0562439 |
|460| 0.01645637| 0.02065706| 0.01541066| 0.05752921|
|470| 0.01679087| 0.02105427| 0.01568365| 0.05883431|
|480| 0.01716304| 0.02156997| 0.01606703| 0.0599463 |
|490| 0.01753759| 0.02189469| 0.01640773| 0.06124187|
|500| 0.01790118| 0.02236462| 0.01669598| 0.06283832|
|510| 0.01834393| 0.02289081| 0.017061  | 0.0640192 |
|520| 0.01881671| 0.02344298| 0.01745796| 0.06553912|
|530| 0.01907396| 0.02401996| 0.01790452| 0.0666306 |
|540| 0.01939869| 0.02435851| 0.01816106| 0.06786799|
|550| 0.01973224| 0.02480578| 0.01849961| 0.06912923|
|560| 0.02011204| 0.02527642| 0.01885176| 0.07032609|
|570| 0.02049446| 0.02556133| 0.01911044| 0.07178473|
|580| 0.02083683| 0.02608442| 0.01940799| 0.0728879 |
|590| 0.02121353| 0.02652168| 0.01976371| 0.07418728|
|600| 0.02156401| 0.02688956| 0.02015162| 0.07536268|
|610| 0.02189159| 0.02734137| 0.02045083| 0.07667804|
|620| 0.02218032| 0.0277729 | 0.0207448 | 0.07755375|
|630| 0.02263999| 0.02827525| 0.02117276| 0.0793407 |
|640| 0.02298903| 0.02877331| 0.02145982| 0.08100152|
|650| 0.02340269| 0.02916932| 0.02184606| 0.08269978|
|660| 0.02375126| 0.02963328| 0.02218556| 0.08395076|
|670| 0.02410245| 0.03014755| 0.02257586| 0.08506036|
|680| 0.0244236 | 0.03070521| 0.0229466 | 0.0861547 |
|690| 0.02482677| 0.03123927| 0.02333736| 0.08732176|
|700| 0.02529764| 0.03163123| 0.02347112| 0.08844304|
|710| 0.02554846| 0.03200555| 0.02396584| 0.08928037|
|720| 0.02599859| 0.03250837| 0.02418303| 0.0905149 |
|730| 0.0263474 | 0.03288841| 0.02446055| 0.09283352|
|740| 0.02663684| 0.03330326| 0.02483463| 0.09297562|
|750| 0.02709985| 0.03381276| 0.02518964| 0.09448099|
|760| 0.02737403| 0.03429055| 0.02557349| 0.09555268|
|770| 0.02776623| 0.03479266| 0.025949  | 0.09710479|
|780| 0.02813697| 0.03533268| 0.02642703| 0.0981915 |
|790| 0.02852917| 0.03581262| 0.0265789 | 0.09951639|
|800| 0.02891326| 0.03610277| 0.02695179| 0.10043526|
|810| 0.0292182 | 0.03640318| 0.02715659| 0.10180163|
|820| 0.02960277| 0.03682566| 0.02753735| 0.10364628|
|830| 0.0299933 | 0.03734612| 0.02782226| 0.10541773|
|840| 0.03030515| 0.03772831| 0.02825046| 0.10682678|
|850| 0.03061676| 0.03803396| 0.0284586 | 0.10810065|
|860| 0.03099251| 0.03866935| 0.02874255| 0.10932803|
|870| 0.0313549 | 0.03920174| 0.02917528| 0.11020422|
|880| 0.03170753| 0.03968167| 0.02962375| 0.11148405|
|890| 0.03206897| 0.04008746| 0.02972507| 0.11258078|
|900| 0.03248525| 0.0406127 | 0.03031373| 0.11291003|
|910| 0.03285933| 0.04099345| 0.03048062| 0.11455321|
|920| 0.03326321| 0.04142737| 0.03090024| 0.11565614|
|930| 0.03356814| 0.04181218| 0.03118467| 0.11734796|
|940| 0.03389931| 0.04221225| 0.0315094 | 0.11812091|
|950| 0.03419924| 0.04285598| 0.03184319| 0.11986017|
|960| 0.03456092| 0.04316306| 0.0322454 | 0.12169099|
|970| 0.03489995| 0.04351568| 0.0323379 | 0.12374759|
|980| 0.03555942| 0.04410386| 0.0328455 | 0.12476373|
|990| 0.03565168| 0.04450703| 0.03309774| 0.12584162)
